trial_id,participant_id,run_id,revision,profile,position,pair_id,condition,cue,target,semantic_lure,recent_lure,neutral_lure,answer,answer_role,correct,response_time_ms,prompt
revised-T0001,revised-P11,revised,revised,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1250,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0002,revised-P11,revised,revised,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1008,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0003,revised-P11,revised,revised,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,943,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0004,revised-P11,revised,revised,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,1203,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0005,revised-P11,revised,revised,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1373,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0006,revised-P11,revised,revised,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1462,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0007,revised-P11,revised,revised,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1477,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0008,revised-P11,revised,revised,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1283,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0009,revised-P12,revised,revised,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1042,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0010,revised-P12,revised,revised,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1160,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0011,revised-P12,revised,revised,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1047,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0012,revised-P12,revised,revised,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,907,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0013,revised-P12,revised,revised,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1408,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0014,revised-P12,revised,revised,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1164,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0015,revised-P12,revised,revised,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1394,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0016,revised-P12,revised,revised,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1256,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0017,revised-P13,revised,revised,psynet_bot_rule,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,1168,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0018,revised-P13,revised,revised,psynet_bot_rule,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,1171,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0019,revised-P13,revised,revised,psynet_bot_rule,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,1064,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0020,revised-P13,revised,revised,psynet_bot_rule,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,882,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0021,revised-P13,revised,revised,psynet_bot_rule,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,1339,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0022,revised-P13,revised,revised,psynet_bot_rule,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,1454,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0023,revised-P13,revised,revised,psynet_bot_rule,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,1279,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0024,revised-P13,revised,revised,psynet_bot_rule,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,1401,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0025,revised-P21,revised,revised,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2903,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0026,revised-P21,revised,revised,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,apple,recent_lure,0,2851,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0027,revised-P21,revised,revised,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2767,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0028,revised-P21,revised,revised,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2909,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0029,revised-P21,revised,revised,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,3167,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0030,revised-P21,revised,revised,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,2947,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0031,revised-P21,revised,revised,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2898,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0032,revised-P21,revised,revised,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,3048,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0033,revised-P22,revised,revised,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,pear,semantic_lure,0,2701,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0034,revised-P22,revised,revised,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,2811,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0035,revised-P22,revised,revised,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,book,target,1,2848,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0036,revised-P22,revised,revised,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2796,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0037,revised-P22,revised,revised,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,3155,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0038,revised-P22,revised,revised,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,3078,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0039,revised-P22,revised,revised,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2802,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0040,revised-P22,revised,revised,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,basket,target,1,3092,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
revised-T0041,revised-P23,revised,revised,scripted_noisy,1,L01,literal,orchard,apple,pear,window,hammer,apple,target,1,2846,"Remember: recent words from other pairs can be traps. Cue: orchard. Choices: apple, pear, window, hammer. Return exactly one choice."
revised-T0042,revised-P23,revised,revised,scripted_noisy,2,L02,literal,harbor,anchor,sail,apple,velvet,anchor,target,1,2720,"Remember: recent words from other pairs can be traps. Cue: harbor. Choices: anchor, sail, apple, velvet. Return exactly one choice."
revised-T0043,revised-P23,revised,revised,scripted_noisy,3,L03,literal,library,book,paper,anchor,cactus,anchor,recent_lure,0,2942,"Remember: recent words from other pairs can be traps. Cue: library. Choices: book, paper, anchor, cactus. Return exactly one choice."
revised-T0044,revised-P23,revised,revised,scripted_noisy,4,L04,literal,kitchen,spoon,fork,book,planet,spoon,target,1,2669,"Remember: recent words from other pairs can be traps. Cue: kitchen. Choices: spoon, fork, book, planet. Return exactly one choice."
revised-T0045,revised-P23,revised,revised,scripted_noisy,5,I01,interference,garden,window,flower,spoon,violin,window,target,1,2960,"Remember: recent words from other pairs can be traps. Cue: garden. Choices: window, flower, spoon, violin. Return exactly one choice."
revised-T0046,revised-P23,revised,revised,scripted_noisy,6,I02,interference,school,pencil,teacher,window,river,pencil,target,1,3172,"Remember: recent words from other pairs can be traps. Cue: school. Choices: pencil, teacher, window, river. Return exactly one choice."
revised-T0047,revised-P23,revised,revised,scripted_noisy,7,I03,interference,desert,cactus,sand,pencil,pillow,cactus,target,1,2972,"Remember: recent words from other pairs can be traps. Cue: desert. Choices: cactus, sand, pencil, pillow. Return exactly one choice."
revised-T0048,revised-P23,revised,revised,scripted_noisy,8,I04,interference,market,basket,coin,cactus,cloud,coin,semantic_lure,0,3070,"Remember: recent words from other pairs can be traps. Cue: market. Choices: basket, coin, cactus, cloud. Return exactly one choice."
