vars,id,creation_time,failed,failed_reason,time_of_death,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class,object_type
{},1,2026-06-15 10:10:59,False,,,Response,1,choose_network,A,ModularPage,True,127.0.0.1,"{""time_taken"": 0.668, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:10:58.345Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:10:58.383Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:10:58.384Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:10:58.388Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:10:58.388Z"", ""info"": null}, {""eventType"": ""pushButtonClicked"", ""localTime"": ""2026-06-15T10:10:58.986Z"", ""info"": {""buttonId"": ""A""}}], ""comments"": [], ""prompt"": {}, ""control"": {""choices"": [""A"", ""B""], ""labels"": {""py/id"": 12}}}",Response,_Response
{},2,2026-06-15 10:10:59,False,,,Response,2,choose_network,A,ModularPage,True,127.0.0.1,"{""time_taken"": 5, ""prompt"": {}, ""control"": {""choices"": [""A"", ""B""], ""labels"": {""py/id"": 3}}}",Response,_Response
{},3,2026-06-15 10:10:59,False,,,Response,2,color_trial,30,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [74, 159, 99], ""stimulus"": {""target"": ""tree"", ""participant_group"": ""A"", ""starting_values"": {""red"": 74, ""green"": 159, ""blue"": 99}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},4,2026-06-15 10:10:59,False,,,Response,2,color_trial,203,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [63, 63, 67], ""stimulus"": {""target"": ""carrot"", ""participant_group"": ""A"", ""starting_values"": {""red"": 63, ""green"": 63, ""blue"": 67}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},5,2026-06-15 10:11:00,False,,,Response,2,color_trial,21,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [193, 57, 56], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""starting_values"": {""red"": 193, ""green"": 57, ""blue"": 56}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},6,2026-06-15 10:11:00,False,,,Response,1,color_trial,64.011401140114,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.647, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:10:59.517Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:10:59.518Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:10:59.518Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:10:59.518Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:10:59.518Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:10:59.522Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:10:59.523Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:10:59.531Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:10:59.955Z"", ""info"": {""outputValue"": ""64.011401140114""}}], ""rawValue"": 64.011401140114, ""outputValue"": 64.011401140114, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [74, 94, 99], ""stimulus"": {""target"": ""tree"", ""participant_group"": ""A"", ""starting_values"": {""red"": 74, ""green"": 94, ""blue"": 99}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},7,2026-06-15 10:11:00,False,,,Response,2,color_trial,229,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [59, 141, 198], ""stimulus"": {""target"": ""banana"", ""participant_group"": ""A"", ""starting_values"": {""red"": 59, ""green"": 141, ""blue"": 198}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},8,2026-06-15 10:11:00,False,,,Response,2,color_trial,21,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [193, 57, 56], ""stimulus"": {""target"": ""rock"", ""participant_group"": ""A"", ""starting_values"": {""red"": 193, ""green"": 57, ""blue"": 56}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},9,2026-06-15 10:11:00,False,,,Response,2,color_trial,30,ColorSliderPage,True,127.0.0.1,"{""controller"": ""ai"", ""prompt_template_version"": ""gibbs-hybrid-v1"", ""model"": ""openai/gpt-4o-mini"", ""mock_mode"": true, ""parser_status"": ""mock"", ""retries"": 0, ""latency_seconds"": 0.0, ""time_taken"": 5, ""prompt"": {}, ""selected_idx"": 1, ""starting_values"": [74, 159, 99], ""stimulus"": {""target"": ""tree"", ""participant_group"": ""A"", ""starting_values"": {""red"": 74, ""green"": 159, ""blue"": 99}, ""active_color"": ""green"", ""active_index"": 1, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
{},10,2026-06-15 10:11:00,False,,,Response,1,color_trial,127.997299729973,ColorSliderPage,True,127.0.0.1,"{""time_taken"": 0.229, ""platform"": ""Chrome 148.0.0.0 (headless) on Linux 64-bit"", ""download_speed_megabits_per_sec"": 1.4, ""event_log"": [{""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:00.680Z"", ""info"": null}, {""eventType"": ""sliderChange"", ""localTime"": ""2026-06-15T10:11:00.680Z"", ""info"": {""outputValue"": ""127.997299729973""}}, {""eventType"": ""trialConstruct"", ""localTime"": ""2026-06-15T10:11:00.684Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2026-06-15T10:11:00.685Z"", ""info"": null}, {""eventType"": ""sliderMinimalInteractions"", ""localTime"": ""2026-06-15T10:11:00.686Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2026-06-15T10:11:00.686Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2026-06-15T10:11:00.690Z"", ""info"": null}, {""eventType"": ""sliderMinimalTime"", ""localTime"": ""2026-06-15T10:11:00.690Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2026-06-15T10:11:00.698Z"", ""info"": null}], ""rawValue"": 127.997299729973, ""outputValue"": 127.997299729973, ""phase"": 0, ""comments"": [], ""prompt"": {}, ""selected_idx"": 2, ""starting_values"": [63, 63, 31], ""stimulus"": {""target"": ""carrot"", ""participant_group"": ""A"", ""starting_values"": {""red"": 63, ""green"": 63, ""blue"": 31}, ""active_color"": ""blue"", ""active_index"": 2, ""min_value"": 0, ""max_value"": 255}}",Response,_Response
