_initial_assets,vars,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,complete,node_id,participant_id,module_state_id,trial_maker_id,definition,finalized,is_repeat_trial,score,performance_reward,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,progress_before_trial,progress_after_trial,async_post_trial_required,async_post_trial_requested,async_post_trial_complete,async_post_trial_failed,block_position,block,class,object_type,initial_vector,initial_index,active_index,reverse_scale,updated_vector,profile_metadata,async_post_trial_completed,vector
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 129, 33], ""submitted_channel_response"": 105, ""response_distance_from_start"": 24}, ""async_post_trial_completed"": true}",1,2026-06-15 09:30:16,False,,,CustomTrial,8,8,,True,8,1,1,gibbs_demo,"{""vector"": [25, 129, 33], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,6.0,105,False,2,,,5.0,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[25, 129, 33]",1,1,False,"[25, 105, 33]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 129, 33], ""submitted_channel_response"": 105, ""response_distance_from_start"": 24}",True,"[25, 129, 33]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 161], ""submitted_channel_response"": 168, ""response_distance_from_start"": 7}, ""async_post_trial_completed"": true}",2,2026-06-15 09:30:16,False,,,CustomTrial,4,4,,True,4,1,1,gibbs_demo,"{""vector"": [216, 122, 161], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,False,,0.0,5.0,168,False,3,,,5.0,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[216, 122, 161]",2,2,True,"[216, 122, 168]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 161], ""submitted_channel_response"": 168, ""response_distance_from_start"": 7}",True,"[216, 122, 161]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""tree"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [115, 76, 200], ""submitted_channel_response"": 168, ""response_distance_from_start"": 32}, ""async_post_trial_completed"": true}",3,2026-06-15 09:30:16,False,,,CustomTrial,2,2,,True,2,1,1,gibbs_demo,"{""vector"": [115, 76, 200], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,False,,0.0,,168,False,4,,,5.0,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[115, 76, 200]",2,2,False,"[115, 76, 168]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""tree"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [115, 76, 200], ""submitted_channel_response"": 168, ""response_distance_from_start"": 32}",True,"[115, 76, 200]"
{},"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 214, ""response_distance_from_start"": 15}, ""async_post_trial_completed"": true}",4,2026-06-15 09:30:16,False,,,CustomTrial,6,6,,True,6,1,1,gibbs_demo,"{""vector"": [233, 143, 199], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,False,,0.0,7.0,214,False,5,,,5.0,20.0,25.0,5.0,0.3333333333333333,0.41666666666666663,True,True,True,False,0,default,CustomTrial,Info,"[233, 143, 199]",2,2,False,"[233, 143, 214]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 214, ""response_distance_from_start"": 15}",True,"[233, 143, 199]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 161], ""submitted_channel_response"": 153, ""response_distance_from_start"": 8}, ""async_post_trial_completed"": true}",5,2026-06-15 09:30:17,False,,,CustomTrial,4,4,,True,4,1,1,gibbs_demo,"{""vector"": [216, 122, 161], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": true}",True,True,,0.0,,153,False,6,0.0,3.0,5.0,25.0,30.0,5.0,0.41666666666666663,0.49999999999999994,True,True,True,False,0,default,CustomTrial,Info,"[216, 122, 161]",2,2,True,"[216, 122, 153]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""rock"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [216, 122, 161], ""submitted_channel_response"": 153, ""response_distance_from_start"": 8}",True,"[216, 122, 161]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 129, 33], ""submitted_channel_response"": 143, ""response_distance_from_start"": 14}, ""async_post_trial_completed"": true}",6,2026-06-15 09:30:17,False,,,CustomTrial,8,8,,True,8,1,1,gibbs_demo,"{""vector"": [25, 129, 33], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,True,,0.0,,143,False,7,1.0,3.0,5.0,30.0,35.0,5.0,0.49999999999999994,0.5833333333333333,True,True,True,False,0,default,CustomTrial,Info,"[25, 129, 33]",1,1,False,"[25, 143, 33]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""banana"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [25, 129, 33], ""submitted_channel_response"": 143, ""response_distance_from_start"": 14}",True,"[25, 129, 33]"
,"{""profile_metadata"": {""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 218, ""response_distance_from_start"": 19}, ""async_post_trial_completed"": true}",7,2026-06-15 09:30:17,False,,,CustomTrial,6,6,,True,6,1,1,gibbs_demo,"{""vector"": [233, 143, 199], ""initial_index"": 2, ""active_index"": 2, ""reverse_scale"": false}",True,True,,0.0,,218,False,8,2.0,3.0,5.0,35.0,40.0,5.0,0.5833333333333333,0.6666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[233, 143, 199]",2,2,False,"[233, 143, 218]","{""bot_profile"": ""normal_rgb"", ""participant_id"": 1, ""participant_group"": ""B"", ""target"": ""carrot"", ""active_channel"": ""blue"", ""active_index"": 2, ""starting_values"": [233, 143, 199], ""submitted_channel_response"": 218, ""response_distance_from_start"": 19}",True,"[233, 143, 199]"
{},"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 212, 146], ""submitted_channel_response"": 159, ""response_distance_from_start"": 53}, ""async_post_trial_completed"": true}",8,2026-06-15 09:30:18,False,,,CustomTrial,3,3,,True,3,2,3,gibbs_demo,"{""vector"": [125, 212, 146], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,12.0,159,False,15,,,5.0,5.0,10.0,5.0,0.08333333333333333,0.16666666666666666,True,True,True,False,0,default,CustomTrial,Info,"[125, 212, 146]",1,1,False,"[125, 159, 146]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""rock"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [125, 212, 146], ""submitted_channel_response"": 159, ""response_distance_from_start"": 53}",True,"[125, 212, 146]"
{},"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 232, ""response_distance_from_start"": 42}, ""async_post_trial_completed"": true}",9,2026-06-15 09:30:18,False,,,CustomTrial,5,5,,True,5,2,3,gibbs_demo,"{""vector"": [135, 190, 38], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": true}",True,False,,0.0,14.0,232,False,16,,,5.0,10.0,15.0,5.0,0.16666666666666666,0.25,True,True,True,False,0,default,CustomTrial,Info,"[135, 190, 38]",1,1,True,"[135, 232, 38]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""carrot"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [135, 190, 38], ""submitted_channel_response"": 232, ""response_distance_from_start"": 42}",True,"[135, 190, 38]"
{},"{""profile_metadata"": {""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 149, 176], ""submitted_channel_response"": 248, ""response_distance_from_start"": 99}, ""async_post_trial_completed"": true}",10,2026-06-15 09:30:18,False,,,CustomTrial,1,1,,True,1,2,3,gibbs_demo,"{""vector"": [148, 149, 176], ""initial_index"": 1, ""active_index"": 1, ""reverse_scale"": false}",True,False,,0.0,,248,False,17,,,5.0,15.0,20.0,5.0,0.25,0.3333333333333333,True,True,True,False,0,default,CustomTrial,Info,"[148, 149, 176]",1,1,False,"[148, 248, 176]","{""bot_profile"": ""random"", ""participant_id"": 2, ""participant_group"": ""A"", ""target"": ""tree"", ""active_channel"": ""green"", ""active_index"": 1, ""starting_values"": [148, 149, 176], ""submitted_channel_response"": 248, ""response_distance_from_start"": 99}",True,"[148, 149, 176]"
